Gene	PMBL_Tier	FL_Tier	BL_Tier	MCL_Tier	DLBCL_Tier	MZL_Tier	Best_Tier	Any_Tier1
APMAP	NA	NA	NA	NA	3	NA	3	No
APOA5	NA	NA	NA	NA	3	NA	3	No
APP	NA	NA	NA	NA	3	NA	3	No
ATIC	NA	NA	NA	NA	3	NA	3	No
ATP10A	NA	NA	NA	NA	3	NA	3	No
ATP1A2	NA	NA	NA	NA	3	NA	3	No
ATP2A3	NA	NA	NA	NA	3	NA	3	No
ATP6V0A1	NA	NA	NA	NA	3	NA	3	No
B4GALNT2	NA	NA	NA	NA	3	NA	3	No
BAZ1A	NA	NA	NA	NA	3	NA	3	No
BCAT2	NA	NA	NA	NA	3	NA	3	No
BLM	NA	NA	NA	NA	3	NA	3	No
BMPR1A	NA	NA	NA	NA	3	NA	3	No
BRCA1	NA	NA	NA	NA	3	NA	3	No
BRCA2	NA	NA	NA	NA	3	NA	3	No
BSCL2	NA	NA	NA	NA	3	NA	3	No
BTAF1	NA	NA	NA	NA	3	NA	3	No
C9	NA	NA	NA	NA	3	NA	3	No
CAPN5	NA	NA	NA	NA	3	NA	3	No
CAPN7	NA	NA	NA	NA	3	NA	3	No
CBLB	NA	NA	NA	NA	3	NA	3	No
CBX3	NA	NA	NA	NA	3	NA	3	No
CCDC132	NA	NA	NA	NA	3	NA	3	No
CCDC46	NA	NA	NA	NA	3	NA	3	No
CCDC97	NA	NA	NA	NA	3	NA	3	No
CCL4	NA	NA	NA	NA	3	NA	3	No
CDC123	NA	NA	NA	NA	3	NA	3	No
CDH10	NA	NA	NA	NA	3	NA	3	No
CDH7	NA	NA	NA	NA	3	NA	3	No
CDK3	NA	NA	NA	NA	3	NA	3	No
CDKN1A	NA	NA	NA	NA	3	NA	3	No
CECR1	NA	NA	NA	NA	3	NA	3	No
CELSR2	NA	NA	NA	NA	3	NA	3	No
CGN	NA	NA	NA	NA	3	NA	3	No
CHD1	NA	NA	NA	NA	3	NA	3	No
CHD3	NA	NA	NA	NA	3	NA	3	No
CHEK2	NA	NA	NA	NA	3	NA	3	No
CHRM5	NA	NA	NA	NA	3	NA	3	No
CHST2	NA	NA	NA	NA	3	NA	3	No
CIC	NA	NA	NA	NA	3	NA	3	No
CNGA4	NA	NA	NA	NA	3	NA	3	No
CNOT6	NA	NA	NA	NA	3	NA	3	No
CNP	NA	NA	NA	NA	3	NA	3	No
CNTN6	NA	NA	NA	NA	3	NA	3	No
COL5A2	NA	NA	NA	NA	3	NA	3	No
CORO2A	NA	NA	NA	NA	3	NA	3	No
CORO7	NA	NA	NA	NA	3	NA	3	No
CRELD2	NA	NA	NA	NA	3	NA	3	No
CRTC3	NA	NA	NA	NA	3	NA	3	No
CSNK1A1	NA	NA	NA	NA	3	NA	3	No
CSNK2A1	NA	NA	NA	NA	3	NA	3	No
CST7	NA	NA	NA	NA	3	NA	3	No
CTNNA3	NA	NA	NA	NA	3	NA	3	No
CYP24A1	NA	NA	NA	NA	3	NA	3	No
CYP2C18	NA	NA	NA	NA	3	NA	3	No
CYYR1	NA	NA	NA	NA	3	NA	3	No
DCAF6	NA	NA	NA	NA	3	NA	3	No
DDB1	NA	NA	NA	NA	3	NA	3	No
DGCR8	NA	NA	NA	NA	3	NA	3	No
DHX33	NA	NA	NA	NA	3	NA	3	No
DIAPH3	NA	NA	NA	NA	3	NA	3	No
DICER1	NA	NA	NA	NA	3	NA	3	No
DIP2B	NA	NA	NA	NA	3	NA	3	No
DMXL1	NA	NA	NA	NA	3	NA	3	No
DNMT3A	NA	NA	NA	NA	3	NA	3	No
DOCK2	NA	NA	NA	NA	3	NA	3	No
DOCK5	NA	NA	NA	NA	3	NA	3	No
DOLK	NA	NA	NA	NA	3	NA	3	No
DSC2	NA	NA	NA	NA	3	NA	3	No
DSCAML1	NA	NA	NA	NA	3	NA	3	No
DSG2	NA	NA	NA	NA	3	NA	3	No
DUOXA2	NA	NA	NA	NA	3	NA	3	No
DUPD1	NA	NA	NA	NA	3	NA	3	No
DYNC1H1	NA	NA	NA	NA	3	NA	3	No
DYNC1I1	NA	NA	NA	NA	3	NA	3	No
ECGF1	NA	NA	NA	NA	3	NA	3	No
ECT2L	NA	NA	NA	NA	3	NA	3	No
EGFR	NA	NA	NA	NA	3	NA	3	No
EPHA3	NA	NA	NA	NA	3	NA	3	No
EPHA5	NA	NA	NA	NA	3	NA	3	No
ERBB3	NA	NA	NA	NA	3	NA	3	No
ERN2	NA	NA	NA	NA	3	NA	3	No
ETNPPL	NA	NA	NA	NA	3	NA	3	No
EXTL3	NA	NA	NA	NA	3	NA	3	No
FAIM	NA	NA	NA	NA	3	NA	3	No
FAM161A	NA	NA	NA	NA	3	NA	3	No
FAM38B	NA	NA	NA	NA	3	NA	3	No
FAM62C	NA	NA	NA	NA	3	NA	3	No
FANCD2	NA	NA	NA	NA	3	NA	3	No
FGD3	NA	NA	NA	NA	3	NA	3	No
FGFR1	NA	NA	NA	NA	3	NA	3	No
FIGN	NA	NA	NA	NA	3	NA	3	No
FLNA	NA	NA	NA	NA	3	NA	3	No
FLNC	NA	NA	NA	NA	3	NA	3	No
FLT1	NA	NA	NA	NA	3	NA	3	No
FMO2	NA	NA	NA	NA	3	NA	3	No
FN1	NA	NA	NA	NA	3	NA	3	No
FNDC1	NA	NA	NA	NA	3	NA	3	No
FRMPD1	NA	NA	NA	NA	3	NA	3	No
FUT5	NA	NA	NA	NA	3	NA	3	No
FZD1	NA	NA	NA	NA	3	NA	3	No
GABRG1	NA	NA	NA	NA	3	NA	3	No
GAK	NA	NA	NA	NA	3	NA	3	No
GATA2	NA	NA	NA	NA	3	NA	3	No
GATA3	NA	NA	NA	NA	3	NA	3	No
GCN1L1	NA	NA	NA	NA	3	NA	3	No
GJA8	NA	NA	NA	NA	3	NA	3	No
GJB4	NA	NA	NA	NA	3	NA	3	No
GNAS	NA	NA	NA	NA	3	NA	3	No
GOPC	NA	NA	NA	NA	3	NA	3	No
GPD2	NA	NA	NA	NA	3	NA	3	No
GPR133	NA	NA	NA	NA	3	NA	3	No
GPR15	NA	NA	NA	NA	3	NA	3	No
GREM2	NA	NA	NA	NA	3	NA	3	No
GRIA2	NA	NA	NA	NA	3	NA	3	No
GRM5	NA	NA	NA	NA	3	NA	3	No
H6PD	NA	NA	NA	NA	3	NA	3	No
HACE1	NA	NA	NA	NA	3	NA	3	No
HCK	NA	NA	NA	NA	3	NA	3	No
HFE	NA	NA	NA	NA	3	NA	3	No
HIPK3	NA	NA	NA	NA	3	NA	3	No
HIST1H4I	NA	NA	NA	NA	3	NA	3	No
HK3	NA	NA	NA	NA	3	NA	3	No
HLA-DQA1	NA	NA	NA	NA	3	NA	3	No
HLA-DRB1	NA	NA	NA	NA	3	NA	3	No
HNRNPR	NA	NA	NA	NA	3	NA	3	No
HSF2	NA	NA	NA	NA	3	NA	3	No
IDH1	NA	NA	NA	NA	3	NA	3	No
IER2	NA	NA	NA	NA	3	NA	3	No
IL6ST	NA	NA	NA	NA	3	NA	3	No
INSC	NA	NA	NA	NA	3	NA	3	No
INTS6	NA	NA	NA	NA	3	NA	3	No
IQGAP1	NA	NA	NA	NA	3	NA	3	No
IQUB	NA	NA	NA	NA	3	NA	3	No
ITGA2	NA	NA	NA	NA	3	NA	3	No
ITGA8	NA	NA	NA	NA	3	NA	3	No
ITGB3	NA	NA	NA	NA	3	NA	3	No
ITGB4	NA	NA	NA	NA	3	NA	3	No
ITPR1	NA	NA	NA	NA	3	NA	3	No
JAG1	NA	NA	NA	NA	3	NA	3	No
JAKMIP2	NA	NA	NA	NA	3	NA	3	No
KCNA3	NA	NA	NA	NA	3	NA	3	No
KCNAB3	NA	NA	NA	NA	3	NA	3	No
KCNJ6	NA	NA	NA	NA	3	NA	3	No
KCNT2	NA	NA	NA	NA	3	NA	3	No
KDR	NA	NA	NA	NA	3	NA	3	No
KIF21B	NA	NA	NA	NA	3	NA	3	No
KIT	NA	NA	NA	NA	3	NA	3	No
KITLG	NA	NA	NA	NA	3	NA	3	No
KLB	NA	NA	NA	NA	3	NA	3	No
KLC3	NA	NA	NA	NA	3	NA	3	No
KLF4	NA	NA	NA	NA	3	NA	3	No
KLRC4	NA	NA	NA	NA	3	NA	3	No
KRT6A	NA	NA	NA	NA	3	NA	3	No
LEPR	NA	NA	NA	NA	3	NA	3	No
LEPREL1	NA	NA	NA	NA	3	NA	3	No
LIFR	NA	NA	NA	NA	3	NA	3	No
LILRA2	NA	NA	NA	NA	3	NA	3	No
LIN54	NA	NA	NA	NA	3	NA	3	No
LIN7C	NA	NA	NA	NA	3	NA	3	No
LPHN2	NA	NA	NA	NA	3	NA	3	No
LRAP	NA	NA	NA	NA	3	NA	3	No
LRIG3	NA	NA	NA	NA	3	NA	3	No
LRP1	NA	NA	NA	NA	3	NA	3	No
LRP10	NA	NA	NA	NA	3	NA	3	No
LRP3	NA	NA	NA	NA	3	NA	3	No
LYST	NA	NA	NA	NA	3	NA	3	No
MAP2K3	NA	NA	NA	NA	3	NA	3	No
MAP4K4	NA	NA	NA	NA	3	NA	3	No
MARCHF7	NA	NA	NA	NA	3	NA	3	No
MARK1	NA	NA	NA	NA	3	NA	3	No
MBL2	NA	NA	NA	NA	3	NA	3	No
MCM8	NA	NA	NA	NA	3	NA	3	No
MED13L	NA	NA	NA	NA	3	NA	3	No
MIB1	NA	NA	NA	NA	3	NA	3	No
MLH1	NA	NA	NA	NA	3	NA	3	No
MMEL1	NA	NA	NA	NA	3	NA	3	No
MN1	NA	NA	NA	NA	3	NA	3	No
MORC2	NA	NA	NA	NA	3	NA	3	No
MPL	NA	NA	NA	NA	3	NA	3	No
MSH2	NA	NA	NA	NA	3	NA	3	No
MSN	NA	NA	NA	NA	3	NA	3	No
MTMR3	NA	NA	NA	NA	3	NA	3	No
MYL7	NA	NA	NA	NA	3	NA	3	No
MYO5C	NA	NA	NA	NA	3	NA	3	No
MYRIP	NA	NA	NA	NA	3	NA	3	No
NANOG	NA	NA	NA	NA	3	NA	3	No
NCOR1	NA	NA	NA	NA	3	NA	3	No
NDUFS1	NA	NA	NA	NA	3	NA	3	No
NELL2	NA	NA	NA	NA	3	NA	3	No
NFIB	NA	NA	NA	NA	3	NA	3	No
NFX1	NA	NA	NA	NA	3	NA	3	No
NGFR	NA	NA	NA	NA	3	NA	3	No
NIPBL	NA	NA	NA	NA	3	NA	3	No
NLGN2	NA	NA	NA	NA	3	NA	3	No
NLRP7	NA	NA	NA	NA	3	NA	3	No
NLRP8	NA	NA	NA	NA	3	NA	3	No
NOTCH3	NA	NA	NA	NA	3	NA	3	No
NPHP1	NA	NA	NA	NA	3	NA	3	No
NPY2R	NA	NA	NA	NA	3	NA	3	No
NR2F2	NA	NA	NA	NA	3	NA	3	No
NSD1	NA	NA	NA	NA	3	NA	3	No
NUP153	NA	NA	NA	NA	3	NA	3	No
ONECUT1	NA	NA	NA	NA	3	NA	3	No
PABPC1	NA	NA	NA	NA	3	NA	3	No
PADI1	NA	NA	NA	NA	3	NA	3	No
PAPPA2	NA	NA	NA	NA	3	NA	3	No
PBX1	NA	NA	NA	NA	3	NA	3	No
PCCB	NA	NA	NA	NA	3	NA	3	No
PCDE1C	NA	NA	NA	NA	3	NA	3	No
PCDHB1	NA	NA	NA	NA	3	NA	3	No
PCDHB15	NA	NA	NA	NA	3	NA	3	No
PCDHB3	NA	NA	NA	NA	3	NA	3	No
PCDHB5	NA	NA	NA	NA	3	NA	3	No
PCDHGA2	NA	NA	NA	NA	3	NA	3	No
PDE1C	NA	NA	NA	NA	3	NA	3	No
PDE4DIP	NA	NA	NA	NA	3	NA	3	No
PDGFRA	NA	NA	NA	NA	3	NA	3	No
PDGFRB	NA	NA	NA	NA	3	NA	3	No
PDIA2	NA	NA	NA	NA	3	NA	3	No
PDZRN4	NA	NA	NA	NA	3	NA	3	No
PFN1	NA	NA	NA	NA	3	NA	3	No
PGR	NA	NA	NA	NA	3	NA	3	No
PKD1	NA	NA	NA	NA	3	NA	3	No
PLA2G4B	NA	NA	NA	NA	3	NA	3	No
PLCB4	NA	NA	NA	NA	3	NA	3	No
PLEKHA7	NA	NA	NA	NA	3	NA	3	No
PNLIPRP1	NA	NA	NA	NA	3	NA	3	No
PNPT1	NA	NA	NA	NA	3	NA	3	No
POGZ	NA	NA	NA	NA	3	NA	3	No
POLD3	NA	NA	NA	NA	3	NA	3	No
POLE	NA	NA	NA	NA	3	NA	3	No
POLQ	NA	NA	NA	NA	3	NA	3	No
PPARGC1A	NA	NA	NA	NA	3	NA	3	No
PPP2R2B	NA	NA	NA	NA	3	NA	3	No
PPWD1	NA	NA	NA	NA	3	NA	3	No
PRDM16	NA	NA	NA	NA	3	NA	3	No
PRKCB1	NA	NA	NA	NA	3	NA	3	No
PRKCQ	NA	NA	NA	NA	3	NA	3	No
PROS1	NA	NA	NA	NA	3	NA	3	No
PRSS7	NA	NA	NA	NA	3	NA	3	No
PTCH1	NA	NA	NA	NA	3	NA	3	No
PTPN14	NA	NA	NA	NA	3	NA	3	No
PTPN23	NA	NA	NA	NA	3	NA	3	No
PTPRF	NA	NA	NA	NA	3	NA	3	No
PTPRK	NA	NA	NA	NA	3	NA	3	No
PTPRT	NA	NA	NA	NA	3	NA	3	No
PXK	NA	NA	NA	NA	3	NA	3	No
RAB3GAP1	NA	NA	NA	NA	3	NA	3	No
RAD9A	NA	NA	NA	NA	3	NA	3	No
RAPGEF3	NA	NA	NA	NA	3	NA	3	No
RARA	NA	NA	NA	NA	3	NA	3	No
RBM15B	NA	NA	NA	NA	3	NA	3	No
RECQL4	NA	NA	NA	NA	3	NA	3	No
RFC1	NA	NA	NA	NA	3	NA	3	No
RHPN2	NA	NA	NA	NA	3	NA	3	No
RIF1	NA	NA	NA	NA	3	NA	3	No
RIMS4	NA	NA	NA	NA	3	NA	3	No
ROR2	NA	NA	NA	NA	3	NA	3	No
RPTOR	NA	NA	NA	NA	3	NA	3	No
RSL1D1	NA	NA	NA	NA	3	NA	3	No
RUNDC1	NA	NA	NA	NA	3	NA	3	No
RUNX1	NA	NA	NA	NA	3	NA	3	No
RYR1	NA	NA	NA	NA	3	NA	3	No
SAPS3	NA	NA	NA	NA	3	NA	3	No
SARM1	NA	NA	NA	NA	3	NA	3	No
SCYL1	NA	NA	NA	NA	3	NA	3	No
SEMA3A	NA	NA	NA	NA	3	NA	3	No
SEMA3D	NA	NA	NA	NA	3	NA	3	No
SEMA5A	NA	NA	NA	NA	3	NA	3	No
SERINC2	NA	NA	NA	NA	3	NA	3	No
SH3PXD2B	NA	NA	NA	NA	3	NA	3	No
SHMT2	NA	NA	NA	NA	3	NA	3	No
SIGLEC10	NA	NA	NA	NA	3	NA	3	No
SLC16A7	NA	NA	NA	NA	3	NA	3	No
SLC16A8	NA	NA	NA	NA	3	NA	3	No
SLC4A8	NA	NA	NA	NA	3	NA	3	No
SLC5A1	NA	NA	NA	NA	3	NA	3	No
SLC9A5	NA	NA	NA	NA	3	NA	3	No
SMO	NA	NA	NA	NA	3	NA	3	No
SOS2	NA	NA	NA	NA	3	NA	3	No
SOX6	NA	NA	NA	NA	3	NA	3	No
SPEG	NA	NA	NA	NA	3	NA	3	No
SPTBN1	NA	NA	NA	NA	3	NA	3	No
ST8SIA3	NA	NA	NA	NA	3	NA	3	No
SULF2	NA	NA	NA	NA	3	NA	3	No
SYK	NA	NA	NA	NA	3	NA	3	No
TAF1L	NA	NA	NA	NA	3	NA	3	No
TAF4B	NA	NA	NA	NA	3	NA	3	No
TECRL	NA	NA	NA	NA	3	NA	3	No
THBS4	NA	NA	NA	NA	3	NA	3	No
TIMM50	NA	NA	NA	NA	3	NA	3	No
TLN1	NA	NA	NA	NA	3	NA	3	No
TLN2	NA	NA	NA	NA	3	NA	3	No
TLR4	NA	NA	NA	NA	3	NA	3	No
TMC1	NA	NA	NA	NA	3	NA	3	No
TMEM161A	NA	NA	NA	NA	3	NA	3	No
TMEM16E	NA	NA	NA	NA	3	NA	3	No
TMEM63A	NA	NA	NA	NA	3	NA	3	No
TNPO1	NA	NA	NA	NA	3	NA	3	No
TPR	NA	NA	NA	NA	3	NA	3	No
TPRKB	NA	NA	NA	NA	3	NA	3	No
TRIM37	NA	NA	NA	NA	3	NA	3	No
TSC2	NA	NA	NA	NA	3	NA	3	No
TSHZ2	NA	NA	NA	NA	3	NA	3	No
TYRO3	NA	NA	NA	NA	3	NA	3	No
UBXN11	NA	NA	NA	NA	3	NA	3	No
UBXN2B	NA	NA	NA	NA	3	NA	3	No
UHRF1BP1L	NA	NA	NA	NA	3	NA	3	No
UNC13B	NA	NA	NA	NA	3	NA	3	No
UQCRC1	NA	NA	NA	NA	3	NA	3	No
VANGL1	NA	NA	NA	NA	3	NA	3	No
VPS13A	NA	NA	NA	NA	3	NA	3	No
WDR65	NA	NA	NA	NA	3	NA	3	No
WDR66	NA	NA	NA	NA	3	NA	3	No
WDR67	NA	NA	NA	NA	3	NA	3	No
WIF1	NA	NA	NA	NA	3	NA	3	No
WNK4	NA	NA	NA	NA	3	NA	3	No
WT1	NA	NA	NA	NA	3	NA	3	No
XDH	NA	NA	NA	NA	3	NA	3	No
ZFAT	NA	NA	NA	NA	3	NA	3	No
ZIC4	NA	NA	NA	NA	3	NA	3	No
ZMYM4	NA	NA	NA	NA	3	NA	3	No
ZNF354A	NA	NA	NA	NA	3	NA	3	No
ZNF366	NA	NA	NA	NA	3	NA	3	No
ZNF439	NA	NA	NA	NA	3	NA	3	No
ZNF474	NA	NA	NA	NA	3	NA	3	No
ZNF700	NA	NA	NA	NA	3	NA	3	No
ZNF790	NA	NA	NA	NA	3	NA	3	No
ZNF814	NA	NA	NA	NA	3	NA	3	No
ZNF91	NA	NA	NA	NA	3	NA	3	No
ZP1	NA	NA	NA	NA	3	NA	3	No
